	tweet_id	user_id	created_at	text	start	end	span	drug
0	46993489828909057	182266659	2011-03-13 17:58:15	@AirLewis VITAMIN C AND GARLIC CRUSHING MEOW	-	-	-	-
1	397783574797352960	545313028	2013-11-05 17:52:49	Only 3 Arnica Balms left at Clinic Alternative Medicines retail space!! Don't worry I will be restocking soon :) http://t.co/ExWeR2Kvoo	7	18	arnica balm	arnica balm
2	400641718372270080	388247063	2013-11-13 15:10:03	Recent research from Holland suggests folic acid reduces the chance of baby having a congenital heart defect by... http://t.co/HMqCcpVk0J	-	-	-	-
3	401583766973734912	1590139340	2013-11-16 05:33:25	I'm so burnt and this aloe isn't helping 😡	-	-	-	-
4	404288692514078720	34971386	2013-11-23 16:41:50	@kristalcraven sudafed that I'm not sure I'm comfortable taking it. I think if rather be miserable than risk it. Haha	15	22	sudafed	sudafed
5	414145733693296640	1097037367	2013-12-20 21:30:12	The World’s First Premium Carbohydrate RTD that’s sugar free! New and Improved Karbolic RTD was… http://t.co/p9fmpJeg6m	79	91	karbolic rtd	Karbolic RTD
6	419988154662535168	206067340	2014-01-06 00:25:53	My dr prescribed protein shakes to help me keep my weight up. Who the eff has to take supplements to GAIN weight?!	17	31	protein shakes	protein shake
7	421574264009928705	112408414	2014-01-10 09:28:31	One appointment remaining for BOTOX this Monday pm. Call the salon for more details.....New Year New You?? http://t.co/ZT6Ds67mJq	30	35	botox	botox
8	422202081228128256	22925404	2014-01-12 03:03:14	when you're sick... puffs with Vicks is the best!!!! finding them in the store is even better! https://t.co/0qH78tDnBr	-	-	-	-
9	423501388380143616	56367933	2014-01-15 17:06:13	Made from the inner bark of the Pau D'arco tree, this herb contains an antifungal compound called lapachol and... http://t.co/jPdYXiFQe3	-	-	-	-
10	424374427963625472	1891671350	2014-01-18 02:55:22	DIY Vicks shower melts that work! #savemoney Vicks shower melts #DIY WEight loss products here: Easy 2 pills 2x/day http://t.co/2BZVArozFB	-	-	-	-
11	429699677307826178	320008016	2014-02-01 19:36:01	Baby im ur insulin if u need ur medicine. I'll be ur prescription, come &amp; take a dose of me. Once u get a dose of me, baby I'm ur medicine ♬	-	-	-	-
12	432728319499329538	238009460	2014-02-10 04:10:45	@AlYsSa_Lou4 lol that's funny, I literally just ate some tums !! But yes its the worst... I hate when I can't lay down because of it.. 😐	57	61	tums	tums
13	435351052854894592	414073002	2014-02-17 09:52:34	Interesting story on the Folic Acid debate...http://t.co/LtSBB2FLJh	-	-	-	-
